,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
52,Avarua,62,CK,1586692800,83,-21.2078,-159.775,81.72,3.51
53,Gornozavodsk,100,RU,1586692800,85,58.3758,58.3211,43.7,4.41
54,Mackay,22,AU,1586692800,82,-21.15,149.2,75.45,4.65
55,Provideniya,100,RU,1586692800,97,64.3833,-173.3,25.97,3.69
56,Geraldton,90,AU,1586692800,88,-28.7667,114.6,75.67,13.15
57,Hermanus,61,ZA,1586692800,59,-34.4187,19.2345,69.12,18.63
58,Pointe Michel,70,DM,1586692800,72,15.25,-61.3833,79.07,13.58
59,Tigil',60,RU,1586692800,93,57.8,158.6667,14.45,3.0
60,Ilorin,58,NG,1586692800,26,8.5,4.55,98.24,3.42
61,Rāvar,48,IR,1586692800,21,31.2656,56.8055,75.79,21.74
62,Añisoc,93,GQ,1586692800,55,1.8658,10.7689,80.42,4.83
63,Mar del Plata,99,AR,1586692800,68,-38.0023,-57.5575,60.17,9.86
64,Hobart,96,AU,1586692800,77,-42.8794,147.3294,52.2,9.24
65,Walvis Bay,1,NA,1586692800,38,-22.9575,14.5053,79.65,16.67
66,Natal'insk,100,RU,1586692800,74,56.4739,57.8698,46.06,8.75
67,Ancud,0,CL,1586692800,72,-41.8697,-73.8203,46.78,1.39
68,Cherskiy,88,RU,1586692800,94,68.75,161.3,15.12,11.05
69,Hamilton,69,US,1586692800,69,39.1834,-84.5333,51.93,7.14
70,Saint-Pierre,44,RE,1586692800,70,-21.3393,55.4781,79.11,21.7
71,Tuni,0,IN,1586692800,46,17.35,82.55,89.87,10.29
72,Chihuahua,0,MX,1586692800,29,28.5,-106.0,49.77,29.95
73,Harper,22,LR,1586692800,65,4.375,-7.7169,86.99,5.32
74,Hofn,28,IS,1586692800,85,64.2539,-15.2082,32.36,4.83
75,Lebu,4,CL,1586692800,75,-37.6167,-73.65,47.79,10.76
76,Chu,100,KZ,1586692800,58,43.5983,73.7614,65.93,8.39
77,Merrill,100,US,1586692800,79,45.1805,-89.6835,35.38,12.95
78,Cape Town,64,ZA,1586692800,51,-33.9258,18.4232,69.53,8.84
79,Presidencia Roque Sáenz Peña,0,AR,1586692800,65,-26.7852,-60.4388,61.5,5.53
80,Kaitangata,94,NZ,1586692800,84,-46.2817,169.8464,55.92,8.12
81,Nishihara,51,JP,1586692800,62,26.1842,127.7558,62.11,29.21
82,Samarai,47,PG,1586692800,74,-10.6167,150.6667,78.62,5.44
83,Baharly,51,TM,1586692800,45,38.4362,57.4316,64.44,8.52
84,Upernavik,100,GL,1586692800,89,72.7868,-56.1549,26.02,8.68
85,Kapaa,95,US,1586692800,69,22.0752,-159.319,70.03,9.26
86,Husavik,53,IS,1586692800,91,66.0449,-17.3389,33.13,12.71
87,Beringovskiy,99,RU,1586692800,95,63.05,179.3167,11.71,8.79
88,Ponta do Sol,16,PT,1586692800,72,32.6667,-17.1,63.86,4.14
89,Barrow,71,US,1586692800,98,71.2906,-156.7887,21.63,9.95
90,Qaanaaq,100,GL,1586692800,78,77.484,-69.3632,15.6,4.34
91,Kutum,47,SD,1586692800,8,14.2,24.6667,89.71,11.92
92,Puerto Ayora,69,EC,1586692800,86,-0.7393,-90.3518,78.62,5.46
93,Katsuura,99,JP,1586692800,82,35.1333,140.3,56.01,21.68
94,Lamu,100,KE,1586692800,78,-2.2717,40.902,84.34,11.34
95,Boysun,100,UZ,1586692800,50,38.2061,67.1986,57.61,3.78
96,Salinópolis,100,BR,1586692800,78,-0.6136,-47.3561,82.96,9.82
97,Vermilion,83,US,1586692800,80,40.1667,-87.7506,52.14,12.1
98,Ossora,10,RU,1586692800,94,59.2353,163.0719,13.08,4.68
99,Pisco,0,PE,1586692800,77,-13.7,-76.2167,72.27,7.31
100,Salalah,13,OM,1586692800,60,17.0151,54.0924,84.97,11.95
101,Elliot,71,ZA,1586692800,13,-31.3333,27.85,73.58,22.86
102,Jumla,13,NP,1586692800,17,29.2747,82.1838,63.88,3.62
103,Lavrentiya,99,RU,1586692800,98,65.5833,-171.0,25.41,6.38
104,Kununurra,100,AU,1586692800,46,-15.7667,128.7333,85.93,6.93
105,Arrifes,27,PT,1586692800,83,37.7667,-25.7,59.58,13.35
106,Cucuteni,80,RO,1586692800,33,47.2833,26.9333,63.05,12.68
107,Arlit,0,NE,1586692800,7,18.7369,7.3853,102.33,4.45
108,Port Hardy,1,CA,1586692800,71,50.6996,-127.4199,39.16,2.62
109,Sitka,94,US,1586692800,65,57.0531,-135.33,40.78,2.53
110,Panjāb,100,AF,1586692800,34,34.388,67.0233,45.95,5.97
111,Cairns,25,AU,1586692800,74,-16.9167,145.7667,76.19,1.66
112,Nelson Bay,0,AU,1586692800,65,-32.7167,152.15,59.52,2.37
113,Faya,32,SA,1586692800,29,18.3851,42.4509,73.54,12.95
114,Saint George,40,US,1586692800,44,37.1041,-113.5841,55.27,4.5
115,Tarján,3,HU,1586692800,41,47.6104,18.5107,70.23,9.06
116,Thompson,99,CA,1586692800,92,55.7435,-97.8558,4.69,7.05
117,Vila Velha,83,BR,1586692800,83,-20.3297,-40.2925,75.94,11.72
118,Grindavik,86,IS,1586692800,81,63.8424,-22.4338,42.24,21.36
119,Dali,83,CN,1586692800,23,25.7,100.1833,60.58,4.72
120,Flinders,1,AU,1586692800,64,-34.5833,150.8552,59.23,6.44
121,Tahe,0,CN,1586692800,51,52.3333,124.7333,46.6,1.52
122,Plettenberg Bay,84,ZA,1586692800,62,-34.0527,23.3716,67.23,19.35
123,Mehrān,37,IR,1586692800,25,33.1222,46.1646,75.43,9.57
124,Boende,100,CD,1586692800,74,-0.2167,20.8667,81.05,3.0
125,Bengkulu,71,ID,1586692800,81,-3.8004,102.2655,81.14,3.96
126,Baruun-Urt,0,MN,1586692800,24,46.6806,113.2792,50.14,9.75
127,Qasigiannguit,100,GL,1586692800,70,68.8193,-51.1922,42.64,16.13
128,Castro,85,BR,1586692800,60,-24.7911,-50.0119,59.41,4.56
129,Nome,100,US,1586692800,98,64.5011,-165.4064,27.55,8.88
130,Sos'va,100,RU,1586692800,53,59.1766,61.8558,53.11,7.87
131,Codrington,100,AU,1586692800,74,-38.2667,141.9667,53.71,5.77
132,Stokmarknes,100,NO,1586692800,90,68.5646,14.9108,33.17,19.84
133,Poli,78,TZ,1586692800,45,-3.3333,36.8,74.97,5.75
134,Natal,63,BR,1586692800,65,-5.795,-35.2094,85.51,13.8
135,Nikolskoye,99,RU,1586692800,59,59.7035,30.7861,44.22,13.78
136,Sydney,0,AU,1586692800,64,-33.8679,151.2073,58.17,3.42
137,Ukiah,43,US,1586692800,80,39.1502,-123.2078,51.55,0.96
138,Baker City,0,US,1586692800,58,44.7749,-117.8344,30.6,5.3
139,Rivadavia,100,AR,1586692800,42,-33.1905,-68.4608,61.18,10.13
140,Saldanha,13,ZA,1586692800,65,-33.0117,17.9442,65.12,7.76
141,Partizanskoye,33,RU,1586692800,52,55.5006,94.39,43.83,13.04
142,Naze,61,JP,1586692800,67,28.3667,129.4833,61.02,33.87
143,Prince Rupert,25,CA,1586692800,67,54.3161,-130.3201,39.88,4.65
144,Port Alfred,94,ZA,1586692800,51,-33.5906,26.891,76.75,28.92
145,Esperance,99,AU,1586692800,90,-33.8667,121.9,68.29,7.36
146,Itarema,88,BR,1586692800,80,-2.9248,-39.9167,83.12,8.79
147,Aquiraz,99,BR,1586692800,81,-3.9014,-38.3911,82.62,10.02
148,Ixtapa,64,MX,1586692800,55,20.7,-105.2,69.01,3.96
149,Bambanglipuro,100,ID,1586692800,77,-7.95,110.2833,80.38,9.37
150,Menzel Salem,44,TN,1586692800,35,35.8567,8.4765,69.01,4.36
151,Wągrowiec,43,PL,1586692800,43,52.8084,17.1996,66.79,10.56
152,East London,100,ZA,1586692800,36,-33.0153,27.9116,85.03,17.0
153,Sesheke,23,ZM,1586692800,29,-17.4759,24.2968,86.11,6.73
154,Kaniama,97,CD,1586692800,57,-7.5667,24.1833,81.46,4.65
155,Tiksi,13,RU,1586692800,88,71.6872,128.8694,-1.97,7.49
156,Saskylakh,100,RU,1586692800,96,71.9167,114.0833,27.66,14.14
157,Marzuq,41,YE,1586692800,27,14.4,46.4667,87.49,15.46
158,Sept-Îles,2,CA,1586692800,92,50.2001,-66.3821,28.9,6.78
159,Río Gallegos,99,AR,1586692800,68,-51.6226,-69.2181,48.72,18.14
160,Jieshi,8,CN,1586692800,51,22.8134,115.8257,65.8,14.0
161,Maridi,100,SS,1586692800,54,4.9158,29.4742,82.76,5.95
162,Cockburn Town,17,TC,1586692800,83,21.4612,-71.1419,78.82,14.03
163,Ust-Maya,100,RU,1586692800,92,60.4167,134.5333,31.39,7.61
164,Wrocław,7,PL,1586692800,39,51.1,17.0333,67.57,8.48
165,Saint-Philippe,38,RE,1586692800,73,-21.3585,55.7679,78.66,20.04
166,Mangan,34,IN,1586692800,25,27.5167,88.5333,75.04,2.73
167,Novaya Malykla,100,RU,1586692800,58,54.2,49.95,49.14,6.8
168,College,80,US,1586692800,96,64.8569,-147.8028,26.87,1.92
169,Araure,75,VE,1586692800,55,9.5601,-69.2148,81.25,2.77
170,Khasan,0,RU,1586692800,68,42.4308,130.6434,40.69,5.88
171,Comarapa,1,BO,1586692800,47,-17.9,-64.4833,56.79,1.23
172,Wittlich,53,DE,1586692800,32,49.9833,6.8833,70.36,5.3
173,Pangnirtung,100,CA,1586692800,91,66.1451,-65.7125,23.94,7.63
174,Kaeo,83,NZ,1586692800,91,-35.1,173.7833,66.51,23.76
175,Henties Bay,0,NA,1586692800,48,-22.116,14.2845,77.72,14.29
176,Havre-St-Pierre,0,CA,1586692800,89,50.2334,-63.5986,30.42,12.15
177,Durant,86,US,1586692800,87,33.994,-96.3708,64.69,6.15
178,Adrar,0,MR,1586692800,15,20.5022,-10.0711,90.95,12.1
179,Cap Malheureux,0,MU,1586692800,74,-19.9842,57.6142,82.58,21.83
180,Sadovoye,70,RU,1586692800,50,47.7764,44.5089,47.28,24.14
181,Lüderitz,12,NA,1586692800,50,-26.6481,15.1594,77.74,14.7
182,San Quintín,38,MX,1586692800,84,30.4833,-115.95,57.42,13.2
183,Chapais,98,CA,1586692800,86,49.7834,-74.8492,30.18,10.47
184,Pevek,9,RU,1586692800,88,69.7008,170.3133,5.86,12.41
185,Banff,88,CA,1586692800,74,51.1762,-115.5698,12.13,1.88
186,Jaguarão,3,BR,1586692800,81,-32.5661,-53.3758,62.96,0.56
187,Jalu,0,LY,1586692800,18,29.0331,21.5482,77.43,4.05
188,Joaçaba,38,BR,1586692800,54,-27.1781,-51.5047,65.62,5.06
189,Maputo,0,MZ,1586692800,31,-25.9653,32.5892,95.97,7.0
190,Launceston,81,AU,1586692800,77,-41.45,147.1667,52.07,4.61
191,Wanning,80,CN,1586692800,68,18.8003,110.3967,69.3,15.84
192,Bandundu Province,97,CD,1586692800,72,-3.3167,17.3667,82.36,4.7
193,Luanda,100,AO,1586692800,91,-8.8368,13.2343,79.92,12.77
194,Fortuna,21,US,1586692800,83,40.5982,-124.1573,47.53,9.08
195,Kurayoshi,100,JP,1586692800,89,35.4333,133.8167,46.94,19.64
196,San Felipe,49,VE,1586692800,68,10.3399,-68.7425,77.0,3.33
197,Eyl,57,SO,1586692800,63,7.9803,49.8164,87.39,12.86
198,Waddān,0,LY,1586692800,15,29.1614,16.139,82.65,8.93
199,Ribeira Grande,24,PT,1586692800,71,38.5167,-28.7,63.27,7.25
200,Gamboula,100,CF,1586692800,56,4.1178,15.1393,80.08,4.14
201,Edd,35,ER,1586692800,58,13.9297,41.6925,85.91,12.57
202,Aklavik,100,CA,1586692800,95,68.2191,-135.0107,26.06,7.0
203,Brae,86,GB,1586692800,70,60.3964,-1.353,41.65,29.89
204,Zhigansk,95,RU,1586692800,93,66.7697,123.3711,17.69,4.23
205,Bocas del Toro,92,PA,1586692800,79,9.3333,-82.25,77.97,3.8
206,Sirte,33,LY,1586692800,37,31.2089,16.5887,70.41,11.01
207,Santa Maria,9,BR,1586692800,70,-29.6842,-53.8069,62.22,3.96
208,Los Llanos de Aridane,22,ES,1586692800,75,28.6585,-17.9182,63.05,7.87
209,Tabou,40,CI,1586692800,63,4.423,-7.3528,87.76,4.03
210,Namikupa,95,TZ,1586692800,83,-10.8333,39.6,79.79,4.99
211,Cosautlán,11,MX,1586692800,34,19.3333,-96.9833,68.79,8.19
212,Broome,60,US,1586692800,67,42.2506,-75.833,37.87,7.25
213,Las Palmas,15,ES,1586692800,57,28.4204,-14.0131,69.4,13.96
214,Lompoc,84,US,1586692800,84,34.6391,-120.4579,53.73,7.02
215,La Ronge,84,CA,1586692800,91,55.1001,-105.2842,10.35,8.97
216,Balboa,100,CO,1586692800,68,2.0396,-77.2168,60.37,2.06
217,Pacific Grove,91,US,1586692800,81,36.6177,-121.9166,52.95,5.55
218,Cidreira,2,BR,1586692800,70,-30.1811,-50.2056,66.49,2.55
219,Hoa Binh,100,VN,1586692800,73,20.8133,105.3383,65.97,1.66
220,Smithers,0,CA,1586692800,69,54.7804,-127.1743,30.94,0.29
221,Chumikan,22,RU,1586692800,77,54.7183,135.315,37.53,0.98
222,Bilma,95,NE,1586692800,8,18.6853,12.9164,97.36,7.16
223,Níjar,100,ES,1586692800,63,36.9665,-2.206,62.38,13.8
224,Sur,14,OM,1586692800,43,22.5667,59.5289,87.35,4.41
225,Kavieng,100,PG,1586692800,70,-2.5744,150.7967,84.76,3.53
226,Kahului,85,US,1586692800,82,20.8947,-156.47,72.99,10.42
227,Laguna,8,US,1586692800,92,38.421,-121.4238,50.23,2.93
228,Tommerup,49,DK,1586692800,57,55.3195,10.2066,60.24,15.05
229,Sioux Lookout,97,CA,1586692800,92,50.1001,-91.917,22.73,6.6
230,Klaksvík,74,FO,1586692800,82,62.2266,-6.589,35.33,27.69
231,Tasiilaq,100,GL,1586692800,88,65.6145,-37.6368,28.35,12.12
232,Fergus Falls,100,US,1586692800,77,46.283,-96.0776,29.95,12.39
233,Ilulissat,100,GL,1586692800,72,69.2167,-51.1,41.97,11.92
234,Narsaq,100,GL,1586692800,71,60.9167,-46.05,41.54,14.88
235,Bathsheba,99,BB,1586692800,71,13.2167,-59.5167,79.84,16.31
236,Graben-Neudorf,21,DE,1586692800,36,49.167,8.4924,73.4,6.06
237,Rāzole,0,IN,1586692800,59,16.4833,81.8333,86.81,8.34
238,Severnoye,39,RU,1586692800,81,56.3491,78.3619,40.5,5.84
239,Nuuk,100,GL,1586692800,96,64.1835,-51.7216,35.08,2.66
240,Kuril'sk,27,RU,1586692800,95,45.2333,147.8833,28.04,4.52
241,Sinnamary,96,GF,1586692800,77,5.3833,-52.95,80.67,14.56
242,Buchanan,20,LR,1586692800,63,5.8808,-10.0467,88.68,3.0
243,Buala,85,SB,1586692800,75,-8.145,159.5921,82.78,3.89
244,São João da Barra,97,BR,1586692800,84,-21.6403,-41.0511,72.28,10.89
245,Acaraú,89,BR,1586692800,81,-2.8856,-40.12,83.28,8.19
246,Ihosy,100,MG,1586692800,44,-22.4,46.1167,78.6,7.58
247,Nicoya,35,CR,1586692800,81,10.1483,-85.452,75.43,3.62
248,Leningradskiy,100,RU,1586692800,87,69.3833,178.4167,13.1,3.29
249,Savé,93,BJ,1586692800,32,8.0425,2.486,99.61,3.13
250,Sūsangerd,0,IR,1586692800,15,31.5608,48.1831,87.01,10.8
251,Dapaong,20,TG,1586692800,24,10.8639,0.205,97.84,5.7
252,Bemidji,100,US,1586692800,84,47.4736,-94.8803,26.65,9.4
253,Middlebury (village),39,US,1586692800,77,44.0153,-73.1673,35.69,7.81
254,Mosquera,98,CO,1586692800,50,4.7059,-74.2302,56.01,2.51
255,Anchorage,100,US,1586692800,92,61.2181,-149.9003,32.59,3.62
256,Namatanai,99,PG,1586692800,75,-3.6667,152.4333,83.12,3.47
257,Chifeng,0,CN,1586692800,28,42.2683,118.9636,52.56,1.66
258,Douglas,96,US,1586692800,72,41.3,-96.167,42.93,20.6
259,Chokurdakh,33,RU,1586692800,94,70.6333,147.9167,4.96,11.9
260,Guymon,16,US,1586692800,29,36.6828,-101.4816,52.0,10.78
261,Pemba,63,MZ,1586692800,80,-12.974,40.5178,87.26,17.76
262,Kānt,44,IN,1586692800,9,27.8,79.8,100.8,10.65
263,Ginda,98,IN,1586692800,18,30.6945,78.4932,71.96,4.23
264,Gejiu,96,CN,1586692800,52,23.306,103.1635,51.42,5.61
265,Dudeştii Vechi,0,RO,1586692800,32,46.05,20.4833,68.41,5.03
266,Menomonie,100,US,1586692800,86,44.8755,-91.9193,37.69,14.83
267,Heishan,0,CN,1586692800,33,41.6892,122.1128,55.56,4.65
268,Sechura,68,PE,1586692800,80,-5.5569,-80.8222,72.54,10.02
269,Kurchum,41,KZ,1586692800,36,48.5722,83.6542,52.77,4.59
270,Ishigaki,100,JP,1586692800,64,24.3448,124.1572,64.04,29.26
271,Kedrovyy,0,RU,1586692800,63,56.1667,91.8167,44.64,7.0
272,Arrondissement d'Issoudun,48,FR,1586692800,53,47.0,1.8333,69.44,6.6
273,Havelock,42,US,1586692800,72,34.8791,-76.9013,60.15,7.74
274,Itambé,98,BR,1586692800,75,-15.245,-40.6244,77.32,1.54
275,Chardara,100,KZ,1586692800,80,41.2547,67.9692,62.24,9.8
276,Ilām,0,NP,1586692800,21,26.9167,87.9167,73.47,3.71
277,Inhambane,0,MZ,1586692800,53,-23.865,35.3833,84.72,8.99
278,Vestmannaeyjar,99,IS,1586692800,80,63.4427,-20.2734,40.78,18.19
279,Nanortalik,100,GL,1586692800,81,60.1432,-45.2371,36.01,19.51
280,Grinnell,99,US,1586692800,90,41.743,-92.7224,49.35,8.16
281,Pak Phanang,47,TH,1586692800,70,8.3511,100.202,88.21,7.36
282,São Filipe,56,CV,1586692800,70,14.8961,-24.4956,75.7,12.55
283,Koshurnikovo,0,RU,1586692800,55,54.1667,93.3,41.32,2.64
284,Zabaykal'sk,0,RU,1586692800,24,49.6333,117.3167,54.41,5.59
285,Yelizovo,76,RU,1586692800,91,53.1873,158.3805,28.72,1.57
286,Kholmy,0,UA,1586692800,42,51.871,32.6006,49.32,10.18
287,Apan,28,MX,1586692800,23,19.7167,-98.4167,53.67,5.28
288,Saint-Augustin,9,CA,1586692800,94,51.226,-58.6502,28.78,9.75
289,Bud,95,US,1586692800,78,39.447,-86.1758,50.52,11.01
290,Constitución,2,CL,1586692800,68,-35.3333,-72.4167,50.0,5.46
291,Viedma,100,AR,1586692800,47,-40.8135,-62.9967,54.88,3.15
292,Quincy,16,US,1586692800,65,42.2529,-71.0023,40.05,5.23
293,Taoudenni,0,ML,1586692800,7,22.6783,-3.9836,103.28,1.81
294,Tateyama,100,JP,1586692800,85,34.9833,139.8667,54.86,21.92
295,Jos,97,NG,1586692800,9,9.9167,8.9,89.04,10.38
296,Ürümqi,86,CN,1586692800,19,43.801,87.6005,67.01,4.23
297,Ayan,17,RU,1586692800,93,56.45,138.1667,30.85,5.03
298,Evanston,98,US,1586692800,80,42.0411,-87.6901,48.04,10.98
299,Gigmoto,2,PH,1586692800,74,13.7796,124.39,82.4,5.3
300,Koson,100,UZ,1586692800,75,39.0375,65.585,65.23,8.43
301,Kjøllefjord,100,NO,1586692800,93,70.9457,27.3465,29.53,13.42
302,Fureidis,0,IL,1586692800,66,32.5986,34.9558,67.96,10.27
303,Saint-Louis,32,SN,1586692800,8,16.3333,-15.0,104.52,10.65
304,Genhe,0,CN,1586692800,34,50.7833,121.5167,47.55,2.77
305,Casino,0,AU,1586692800,87,-28.8667,153.05,56.01,2.51
306,Lata,33,PT,1586692800,58,40.1629,-8.3327,69.87,1.01
307,Bacolod City,33,PH,1586692800,74,10.6667,122.95,80.78,1.77
308,Marawi,22,PH,1586692800,72,7.9986,124.2928,69.3,2.21
309,Mount Gambier,100,AU,1586692800,75,-37.8333,140.7667,51.91,2.33
310,Mabai,100,CN,1586692800,63,23.0128,104.4508,51.04,4.54
311,Rawson,0,AR,1586692800,40,-43.3002,-65.1023,54.93,8.3
312,Isla Vista,16,US,1586692800,83,34.4133,-119.861,54.61,4.59
313,Tiznit Province,87,MA,1586692800,54,29.5833,-9.5,61.95,9.84
314,Mtwara,82,TZ,1586692800,80,-10.2667,40.1833,82.78,10.2
315,Geilo,37,NO,1586692800,61,60.5333,8.2076,37.74,17.11
316,Caluquembe,19,AO,1586692800,49,-13.7833,14.6833,71.82,3.18
317,Severo-Kuril'sk,97,RU,1586692800,95,50.6789,156.125,29.57,4.97
318,Kumul,11,CN,1586692800,12,42.8,93.45,70.39,4.65
319,Longyearbyen,71,SJ,1586692800,86,78.2186,15.6401,-0.45,3.49
320,Muhafazat Lahij,88,YE,1586692800,47,13.1667,44.5833,86.85,11.12
321,Onega,10,RU,1586692800,72,63.9061,38.1404,36.46,9.91
322,Ouadda,100,CF,1586692800,22,8.0777,22.4007,95.56,3.04
323,Amuntai,72,ID,1586692800,87,-2.4177,115.2494,77.23,2.53
324,Sola,96,VU,1586692800,75,-13.8833,167.55,81.97,9.19
325,Kiruna,100,SE,1586692800,94,67.8557,20.2251,25.05,11.27
326,Jablah,36,SY,1586692800,66,35.3614,35.9256,66.76,8.55
327,Zandvoort,24,NL,1586692800,61,52.3749,4.5341,64.47,8.81
328,Aripuanã,100,BR,1586692800,95,-9.1667,-60.6333,74.05,2.26
329,Zaria,58,NG,1586692800,8,11.1113,7.7227,97.61,13.56
330,Turka,36,UA,1586692800,32,49.1541,23.0297,63.0,7.49
331,Pargas,100,FI,1586692800,89,60.3067,22.301,43.09,20.65
332,Lebedinyy,87,RU,1586692800,85,58.5167,125.5167,24.49,7.02
333,Cooma,19,AU,1586692800,62,-36.2333,149.1333,43.66,1.59
334,Grants,11,US,1586692800,40,35.1473,-107.8514,41.61,24.49
335,Mitsamiouli,86,KM,1586692800,76,-11.3847,43.2844,84.38,20.04
336,Almaznyy,20,RU,1586692800,47,48.0448,40.045,49.14,18.88
337,Bairiki Village,100,KI,1586692800,77,1.3292,172.9752,83.44,10.22
338,Gola Gokarannāth,43,IN,1586692800,9,28.0833,80.4667,100.78,9.31
339,Gamba,86,GA,1586692800,55,-2.65,10.0,87.17,4.0
340,Grand Gaube,0,MU,1586692800,74,-20.0064,57.6608,83.05,21.79
341,Mikuni,100,JP,1586692800,78,36.2171,136.1519,49.26,21.54
342,Fort Abbas,52,PK,1586692800,12,29.1925,72.8536,102.45,7.65
343,Arroio Grande,2,BR,1586692800,79,-32.2375,-53.0869,63.55,0.25
344,Margate,40,GB,1586692800,77,51.3813,1.3862,62.28,3.51
345,Suntar,56,RU,1586692800,93,62.1444,117.6319,31.17,5.3
346,West Bay,8,KY,1586692800,81,19.3667,-81.4167,81.03,15.14
347,Camaná,49,PE,1586692800,73,-16.6228,-72.7111,71.6,5.21
348,Puerto Escondido,2,MX,1586692800,54,15.85,-97.0667,78.26,4.5
349,Sedam,36,IN,1586692800,10,17.1773,77.2824,101.97,7.61
350,Port Lincoln,100,AU,1586692800,63,-34.7333,135.8667,58.41,7.2
351,Hambantota,29,LK,1586692800,71,6.1241,81.1185,85.98,15.08
352,Vostok,19,RU,1586692800,63,46.4856,135.8833,33.04,0.56
353,Karratha,4,AU,1586692800,63,-20.7377,116.8463,83.37,13.22
354,Tessalit,4,ML,1586692800,6,20.1986,1.0114,103.28,10.25
355,Carnarvon,29,AU,1586692800,78,-24.8667,113.6333,80.08,21.47
356,Rocha,39,UY,1586692800,72,-34.4833,-54.3333,63.27,4.59
357,Giohar,64,SO,1586692800,40,2.7809,45.5005,94.5,15.32
358,Tanabe,100,JP,1586692800,84,33.7333,135.3667,57.54,23.67
